x,y,z
4375.0,28375.0,86.58999634
4625.0,28375.0,86.0
4875.0,28375.0,85.5
5125.0,28375.0,85.0
5375.0,28375.0,86.23000336
5625.0,28375.0,90.01999664
5875.0,28375.0,89.91000366
6125.0,28375.0,88.19999695
6375.0,28375.0,87.41000366
6625.0,28375.0,88.61000061
6875.0,28375.0,88.41000366
7125.0,28375.0,86.81999969
7375.0,28375.0,85.61000061
7625.0,28375.0,84.91000366
7875.0,28375.0,84.0
8125.0,28375.0,83.19999695
8375.0,28375.0,82.0
8625.0,28375.0,-36.017997750000006
8875.0,28375.0,-39.1214981
9125.0,28375.0,-14.310001399999997
9375.0,28375.0,4.950000764999999
9625.0,28375.0,10.396999359999999
9875.0,28375.0,23.868499755
10125.0,28375.0,32.368499755
10375.0,28375.0,36.224501610000004
10625.0,28375.0,37.70300007
10875.0,28375.0,37.87800002
11125.0,28375.0,37.71850002
11375.0,28375.0,37.039000035
11625.0,28375.0,35.52699995
11875.0,28375.0,34.1875
12125.0,28375.0,32.703499795
12375.0,28375.0,30.623000145
12625.0,28375.0,28.96399975
12875.0,28375.0,27.184000015000002
13125.0,28375.0,25.65799999
13375.0,28375.0,24.06700039
13625.0,28375.0,22.334501265
13875.0,28375.0,20.55600166
14125.0,28375.0,19.493499755
14375.0,28375.0,19.11800003
14625.0,28375.0,21.968799590000003
14875.0,28375.0,23.86705208
15125.0,28375.0,23.300899505
15375.0,28375.0,21.48410034
15625.0,28375.0,20.71805
15875.0,28375.0,20.55610275
16125.0,28375.0,20.225997924999998
16375.0,28375.0,19.498897555
16625.0,28375.0,19.106700895
16875.0,28375.0,19.211299895
17125.0,28375.0,19.24710083
17375.0,28375.0,19.689149855
17625.0,28375.0,20.276449205
17875.0,28375.0,20.768398285
18125.0,28375.0,21.272049905
18375.0,28375.0,21.598549845
18625.0,28375.0,21.67920017
18875.0,28375.0,68.61000061
19125.0,28375.0,67.0
19375.0,28375.0,67.0
19625.0,28375.0,80.33999634
19875.0,28375.0,79.25
20125.0,28375.0,83.01999664
20375.0,28375.0,91.5
20625.0,28375.0,101.300003075
20875.0,28375.0,103.0
21125.0,28375.0,102.0
125.0,28125.0,160.94000241999998
375.0,28125.0,152.67999269
625.0,28125.0,156.020004285
875.0,28125.0,161.75
1125.0,28125.0,154.32000731
1375.0,28125.0,138.949996975
1625.0,28125.0,125.819999695
1875.0,28125.0,115.5
2125.0,28125.0,111.45999909
2375.0,28125.0,115.13999939499999
2625.0,28125.0,119.050003075
2875.0,28125.0,118.23000338
3125.0,28125.0,112.050003075
3375.0,28125.0,102.66000368
3625.0,28125.0,95.76999664
3875.0,28125.0,89.68000031
4125.0,28125.0,88.0
4375.0,28125.0,87.08999634
4625.0,28125.0,87.0
4875.0,28125.0,86.88999939
5125.0,28125.0,86.0
5375.0,28125.0,85.0
5625.0,28125.0,85.0
5875.0,28125.0,85.61000061
6125.0,28125.0,85.81999969
6375.0,28125.0,86.61000061
6625.0,28125.0,87.11000061
6875.0,28125.0,86.19999695
7125.0,28125.0,85.0
7375.0,28125.0,84.19999695
7625.0,28125.0,83.61000061
7875.0,28125.0,83.0
8125.0,28125.0,82.0
8375.0,28125.0,-34.87100220000001
8625.0,28125.0,-43.0
8875.0,28125.0,-49.5985031
9125.0,28125.0,-44.2235031
9375.0,28125.0,-31.94049835
9625.0,28125.0,-5.786998750000002
9875.0,28125.0,15.60449791
10125.0,28125.0,24.722499845
10375.0,28125.0,29.265999795
10625.0,28125.0,31.793002129999998
10875.0,28125.0,32.61250019
11125.0,28125.0,33.164000035
11375.0,28125.0,33.14050007
11625.0,28125.0,32.537001610000004
11875.0,28125.0,31.35650015
12125.0,28125.0,30.14599991
12375.0,28125.0,28.35400009
12625.0,28125.0,26.948499679999998
12875.0,28125.0,25.404999735
13125.0,28125.0,23.763500215
13375.0,28125.0,22.127500535
13625.0,28125.0,20.38400078
13875.0,28125.0,18.686000825
14125.0,28125.0,17.96150017
14375.0,28125.0,17.91349983
14625.0,28125.0,19.12719917
14875.0,28125.0,21.727148055
15125.0,28125.0,20.60005188
15375.0,28125.0,19.838500975
15625.0,28125.0,19.249601365
15875.0,28125.0,19.834749220000003
16125.0,28125.0,19.940797805
16375.0,28125.0,19.67840004
16625.0,28125.0,19.85090065
16875.0,28125.0,20.11264801
17125.0,28125.0,20.695697785
17375.0,28125.0,21.40024948
17625.0,28125.0,22.441800115
17875.0,28125.0,23.632699965
18125.0,28125.0,24.796899795
18375.0,28125.0,25.333248140000002
18625.0,28125.0,25.96875
18875.0,28125.0,25.824899674999998
19125.0,28125.0,25.376399995
19375.0,28125.0,68.0
19625.0,28125.0,81.98000336
19875.0,28125.0,88.95999908
20125.0,28125.0,86.56999969
20375.0,28125.0,91.31999969
20625.0,28125.0,101.41000368
20875.0,28125.0,102.41000368
21125.0,28125.0,98.23000336
125.0,27875.0,169.479995715
375.0,27875.0,149.82000731
625.0,27875.0,152.25
875.0,27875.0,155.33999632
1125.0,27875.0,144.47000121000002
1375.0,27875.0,132.86000060499998
1625.0,27875.0,116.51999662
1875.0,27875.0,116.0
2125.0,27875.0,120.37000277499999
2375.0,27875.0,127.44000242
2625.0,27875.0,130.13999939500002
2875.0,27875.0,140.009994505
3125.0,27875.0,125.23000338
3375.0,27875.0,112.33999632
3625.0,27875.0,100.48000338
3875.0,27875.0,98.98000336
4125.0,27875.0,89.56999969
4375.0,27875.0,88.0
4625.0,27875.0,87.58999634
4875.0,27875.0,87.19999695
5125.0,27875.0,86.18000031
5375.0,27875.0,86.0
5625.0,27875.0,85.38999939
5875.0,27875.0,84.0
6125.0,27875.0,84.0
6375.0,27875.0,84.81999969
6625.0,27875.0,85.0
6875.0,27875.0,84.81999969
7125.0,27875.0,84.0
7375.0,27875.0,83.19999695
7625.0,27875.0,83.0
7875.0,27875.0,83.0
8125.0,27875.0,-31.537002549999997
8375.0,27875.0,-35.630001045
8625.0,27875.0,-42.111503605
8875.0,27875.0,-49.357997895
9125.0,27875.0,-53.142997750000006
9375.0,27875.0,-51.71099855
9625.0,27875.0,-23.68000033
9875.0,27875.0,3.889503480000002
10125.0,27875.0,15.576000214999997
10375.0,27875.0,21.92499733
